poll_id,token,institution,is_info_useful,is_info_missing,missing_info,improvements,date,missing_info_sentiment,improvements_sentiment,missing_info_en,improvements_en,missing_info_adj,improvements_adj,missing_info_noun_adj,improvements_noun_adj,missing_info_en_adj,improvements_en_adj,missing_info_en_noun_adj,improvements_en_noun_adj
9682,INM607,INM-03-003-A,1,Sí,"cuanto dinero se puede traer o ingresar a suelo mexicano
a cuanto haciende el monto de las tarifas arancelarias en los productos que uno trae personalmente
cuanto puedes pasar sin pagar los costosos impuestos de objetos personales
en que categoria entran las herramientas usadas que quieran ingresar al pais",ser mas espesificos y detallar mejor las normas,2017-03-14,0.0,1,"how much money you can bring or enter mexican soil
a haciende as the amount of tariffs on products that you bring personally
how much you can spend without paying taxes expensive personal items
in that category includes tools used that operates in the country",espesificos be more and better detail the rules,mexicano arancelarias costosos personales usadas,espesificos,dinero suelo mexicano cuanto monto tarifas arancelarias productos cuanto costosos impuestos objetos personales categoria herramientas usadas pais,espesificos normas,much Mexican expensive personal,better,much money Mexican soil haciende amount tariffs products taxes expensive personal items category tools operates country,espesificos better detail rules
9683,SAT2289,SAT-07-009,0,No,,esta pagina no me gusta quiero ir directo a facturar,2017-03-14,3.0,0,,i do not like this product i go straight to invoice,,directo,,pagina directo,,straight,,product straight invoice
9684,sep.3032,SEP-25-002-B,0,Sí,"don de se puede realizar el tramite en los estados 

no existe registro de donde se puede realizar el tramite en los estados",seria muy bueno que se pudiera hacer el tramiete en cualquier lugar del pais y no tener que regresar al estado donde se realizaron los estudios de preparatoria,2017-03-14,0.0,0,"gift can perform the procedure in the states

there is no record of where you can perform the procedure in the states",it would be very nice if it could make tramiete anywhere in the country and not have to return to the state where the school studies were conducted,,bueno preparatoria,tramite registro tramite,bueno lugar pais estudios preparatoria,,tramiete,Gift perform procedure states record procedure states,tramiete country return state school studies
9685,sep.1010,SEP-01-034-B,0,Sí,nunca contestan el telefono para dudascoordinacion de gobernacionsaludos,hacer su trabajo,2017-03-14,0.0,1,they never answer the phone to dudascoordinacion of gobernacionsaludos,do his job,dudas.,,teléfono dudas.,trabajo,,,phone dudas Coordinacion Gobernación Saludos,job
9686,ISSSTE615,FOVISSSTE-00-004,1,No,,en aos anteriores se podia bajar la constancia desde internet sin tener que asistir a las oficinas lo cual nos evita hacer filas porque no todos podemos salir del trabajo para ir hacer tramites personales,2017-03-14,3.0,0,,in previous years could lower the evidence from internet to attend without offices which we avoid rows because not everyone can leave to go to work personal tramites,,ANTERIORES PERSONALES,,AÑOS ANTERIORES CONSTANCIA OFICINAS FILAS TRABAJO TRAMITES PERSONALES,,PREVIOUS PERSONAL,,PREVIOUS YEARS EVIDENCE INTERNET OFFICES ROWS EVERYONE PERSONAL TRAMITES
9687,ISSSTE518,ISSSTE-00-007-B,1,No,,por que no dan una opccion de cambiar los datos por internet ya que muchos trabajadores no contamos con tiempo para ir a una oficina,2017-03-14,3.0,0,,why not give a call option changing data online because many workers do not have time to go to an office,,,,OPCCION DATOS TRABAJADORES TIEMPO OFICINA,,online many,,call option changing data online many workers TIME OFFICE
9688,ISSSTE520,ISSSTE-00-008-B,1,Sí,el enlace con la informacion para imprimir en linea estos documentos,que esta informacion sea mas clara,2017-03-14,1.0,1,the link to the online information to print these documents,this information is clearer,,clara,información línea documentos,información clara,online,clearer,online information print documents,information clearer
9689,ISSSTE615,FOVISSSTE-00-004,0,Sí,la anterior informacion con respecto las constancias de interes se podian imprimir sin ir a perder el tiempo en las oficinas y ahora resulta que se tiene que presentar seria mas facil que se lograra bajar la constancia sin necesidad de ir gracias,diganos como bajar la informacion todo esta de cabeza,2017-03-14,0.0,1,the above information regarding the records of interest could be printed without going to waste time at the office and now they have to present easier would be to lower the record achieved without going thanks,tell us how all this information down head,anterior seria fácil,díganos cabeza,anterior información respecto constancias interés tiempo oficinas seria fácil constancia necesidad gracias,díganos información cabeza,present easier lower,,information records interest waste time office present easier lower record thanks,information head
9690,IMSS599,IMSS-02-020-B,1,Sí,solamente falta saber cual es la vigencia (cuantos dias tiene el formato imss porque solamente dice vigente y unicamente tienes la fecha en que lo solicitaste o imprimiste y se requiere saber a partir de esa fecha cuantos dias me es util este documento gracias,en forma general esta muy bien este tramite solo falta mas difusion yo hasta hoy me entere en una platica entre amigos saludos,2017-03-14,0.0,0,only need to know what the term (few days has the imss format because only it says list and only have the date you requested or printed out and is required to know from me that time few days is useful herein thank you,in general this process is fine just need more coverage i until today i heard a conversation between friends greetings,Vigente solicitaste imprimiste util,general solo saludos,vigencia días formato Vigente fecha solicitaste imprimiste fecha días util documento gracias,forma general trámite solo difusión platica amigos saludos,useful,general fine,term days IMSS format List date time days useful,general process fine coverage today conversation friends greetings
9691,SECTUR3109,SECTUR-05-006,1,Sí,un correo donde se puedan enviar los documentos y un numero donde si contesten para aclarar dudas,dando telefonos y extensiones reales,2017-03-14,0.0,1,mail where can send documents and where is number answer to answer questions,giving and extensions live telephones,,REALES,CORREO DOCUMENTOS NUMERO DUDAS,TELEFONOS EXTENSIONES REALES,,,DOCUMENTS NUMBER answer answer questions,EXTENSIONS TELEPHONES
9692,SCT1699,SCT-03-008-A,1,No,,como proveedor de semi remolques importados seria importante poder pre registrarlos con el pedimento de importacion esto para agilizar el otorgamiento de placas por parte de sus delegaciones,2017-03-14,3.0,0,,as a supplier of semi trailers imported would be important to register with pre import request this to expedite granting plates by their delegations,,importados importante placas,,proveedor remolques importados importante poder pedimento importación otorgamiento placas parte delegaciones,,important,,supplier semi trailers important import request plates delegations
9693,ISSSTE608,FOVISSSTE-00-009-E,1,No,,si existe oficina en texcoco se podria brindar este servicio en la oficina de texcoco,2017-03-14,3.0,1,,if there office in texcoco could provide this service at the office of texcoco,,,,oficina servicio oficina,,,,office Texcoco service office Texcoco
9694,ISSSTE615,FOVISSSTE-00-004,1,Sí,para imprimir la constancia,deben poner la constancia para poder imprimirla desde la pagina,2017-03-14,1.0,1,to print the record,they must put the record power to print from page,,,constancia,constancia pagina,,record,record,record power print page
9695,IMPI88,IMPI-01-001,0,Sí,solicitud de registro o publicacion de signos distintivos se encuentra desactualizado esta la version  y actualmente se trabaja con la ,actualizar los formatos,2017-03-14,0.0,1,registration or publication distinctive signs is this outdated version  and currently works with ,update formats,desactualizado,,desactualizado versión 2015,formatos,Distinctive outdated,,Registration publication Distinctive Signs outdated version,update formats
9696,ISSSTE1722,ISSSTE-07-001,1,Sí,sobre prestaciones,el internet,2017-03-14,1.0,1,employee benefits,the internet,,,prestaciones,internet,,,Employee Benefits,Internet
9697,SEDESOL58,SEDESOL-20-001-A,1,Sí,delegaciones de sedesol en los municipios solo aparecen  o  por estado,que haya un pretramite online para reducir el tiempo en la delegacion parecido a cuando se hace alta en el imss,2017-03-14,1.0,0,sedesol delegations in municipalities appear only  or  state,there is an online pretramite to reduce time in the delegation like when it becomes high in the imss,,Parecido alta,Delegaciones municipios,online tiempo delegación Parecido alta imss,SEDESOL,online high,SEDESOL delegations municipalities state,online pretrámite time delegation high IMSS
9698,IMSS166,IMSS-02-025-A,1,Sí,si olvidas la respuesta de la pregunta clave que opciones dan no se ve ninguna opcion,tener mas claridad y respuestas a las preguntas,2017-03-14,0.0,1,if you forget the answer to the key question give you options no option is seen,have more clarity and answers to questions,,,respuesta clave opciones opción,claridad respuestas preguntas,key,,answer key question options option,clarity answers questions
